PassengerId,familyid,Family_member_survival
1,88,0
2,155,0
3,289,0
4,235,0
5,789,0
6,896,0
7,890,0
8,541,0
9,866,1
10,499,0
11,634,1
12,799,0
13,636,0
14,951,1
15,746,0
16,297,0
17,594,0
18,944,0
19,742,0
20,441,0
21,236,0
22,60,0
23,892,0
24,670,0
25,541,0
26,793,1
27,211,0
28,227,1
29,523,0
30,717,0
31,733,0
32,680,0
33,254,0
34,759,0
35,893,1
36,310,1
37,432,0
38,106,0
39,742,0
40,776,1
41,8,0
42,732,0
43,364,0
44,377,1
45,180,0
46,922,0
47,386,0
48,522,0
49,633,0
50,229,0
51,542,0
52,514,0
53,969,0
54,220,0
55,534,0
56,775,0
57,619,0
58,516,0
59,757,1
60,258,0
61,659,0
62,320,0
63,855,1
64,665,0
65,690,0
66,484,1
67,517,0
68,151,0
69,951,0
70,359,0
71,333,0
72,258,0
73,313,0
74,126,0
75,67,0
76,477,0
77,682,0
78,486,0
79,102,1
80,192,0
81,748,0
82,647,0
83,451,0
84,823,0
85,321,0
86,35,0
87,847,0
88,669,0
89,227,1
90,114,0
91,124,0
92,18,0
93,115,0
94,174,1
95,149,0
96,651,0
97,256,0
98,262,0
99,188,1
100,344,1
101,570,0
102,914,0
103,944,1
104,863,0
105,963,0
106,472,0
107,630,0
108,483,0
109,588,0
110,897,0
111,579,0
112,783,0
113,49,0
114,871,1
115,794,0
116,558,0
117,142,0
118,732,0
119,52,1
120,951,1
121,298,0
122,895,0
123,499,1
124,941,0
125,944,1
126,776,1
127,456,0
128,423,0
129,567,1
130,208,0
131,196,0
132,131,0
133,604,0
134,754,0
135,675,0
136,595,0
137,506,0
138,235,1
139,532,0
140,247,0
141,800,0
142,518,0
143,269,0
144,94,0
145,792,0
146,507,0
147,953,0
148,847,0
149,502,1
150,98,0
151,50,0
152,555,0
153,463,0
154,734,0
155,906,0
156,944,1
157,252,0
158,145,0
159,672,0
160,627,0
161,152,0
162,940,0
163,62,0
164,813,0
165,542,0
166,854,1
167,121,0
168,665,0
169,51,0
170,403,0
171,735,0
172,594,0
173,866,1
174,662,0
175,927,0
176,362,0
177,380,0
178,324,0
179,270,0
180,387,0
181,627,0
182,563,0
183,793,1
184,58,1
185,290,0
186,609,0
187,903,0
188,606,0
189,80,0
190,729,0
191,575,0
192,108,0
193,860,0
194,502,1
195,954,0
196,417,0
197,464,0
198,906,0
199,421,0
200,782,0
201,739,0
202,627,0
203,336,0
204,779,0
205,132,0
206,699,0
207,35,1
208,10,0
209,821,0
210,75,0
211,787,0
212,103,0
213,562,0
214,253,0
215,356,0
216,505,1
217,312,0
218,327,1
219,53,0
220,855,1
221,700,0
222,83,0
223,260,0
224,503,0
225,859,1
226,64,0
227,462,0
228,412,0
229,217,0
230,380,0
231,855,0
232,885,0
233,664,0
234,793,1
235,393,0
236,276,0
237,307,0
238,138,1
239,561,0
240,317,0
241,783,0
242,900,1
243,134,0
244,425,0
245,795,0
246,469,1
247,396,0
248,271,1
249,59,1
250,958,0
251,586,0
252,699,0
253,685,0
254,406,0
255,610,0
256,724,0
257,713,0
258,119,0
259,751,0
260,546,0
261,928,0
262,793,1
263,707,1
264,279,0
265,295,0
266,587,0
267,542,0
268,565,0
269,854,1
270,72,0
271,100,0
272,722,0
273,461,1
274,500,0
275,285,0
276,19,0
277,397,0
278,544,0
279,594,0
280,2,0
281,198,0
282,909,0
283,172,0
284,190,0
285,929,0
286,683,0
287,171,0
288,493,0
289,315,0
290,828,0
291,46,0
292,71,1
293,391,0
294,266,0
295,470,0
296,392,0
297,273,0
298,14,1
299,623,0
300,52,0
301,879,0
302,448,1
303,866,1
304,876,0
305,945,0
306,14,0
307,841,0
308,560,0
309,3,1
310,228,0
311,283,1
312,621,1
313,369,0
314,293,0
315,857,1
316,902,0
317,344,0
318,481,0
319,761,1
320,679,0
321,838,0
322,164,0
323,667,0
324,102,1
325,627,0
326,778,0
327,519,0
328,42,0
329,854,1
330,302,1
331,448,1
332,547,0
333,854,1
334,742,0
335,230,1
336,179,0
337,555,1
338,808,0
339,158,0
340,74,0
341,502,1
342,227,1
343,135,0
344,642,0
345,849,0
346,974,0
347,930,0
348,168,0
349,148,1
350,184,0
351,527,0
352,373,0
353,839,0
354,229,0
355,780,0
356,740,0
357,82,0
358,234,0
359,454,0
360,476,0
361,665,0
362,175,0
363,45,0
364,974,1
365,903,1
366,6,0
367,938,0
368,485,0
369,334,0
370,31,0
371,275,0
372,764,0
373,57,0
374,599,0
375,541,0
376,893,0
377,374,0
378,763,0
379,797,0
380,964,0
381,66,0
382,495,1
383,715,0
384,310,0
385,576,0
386,962,0
387,258,0
388,95,0
389,624,0
390,381,0
391,957,1
392,329,0
393,963,0
394,505,1
395,634,1
396,864,0
397,910,0
398,455,0
399,539,0
400,726,0
401,512,0
402,7,0
403,871,1
404,269,1
405,912,0
406,237,0
407,762,0
408,596,1
409,69,0
410,380,0
411,641,0
412,857,1
413,469,0
414,156,0
415,701,0
416,460,0
417,197,0
418,653,0
419,443,0
420,736,0
421,245,0
422,117,0
423,784,0
424,161,0
425,610,0
426,773,0
427,128,0
428,916,0
429,842,0
430,574,0
431,686,0
432,714,0
433,411,0
434,342,0
435,655,1
436,957,1
437,847,0
438,596,1
439,227,1
440,367,0
441,857,1
442,272,0
443,571,0
444,591,0
445,87,0
446,186,0
447,461,1
448,644,0
449,36,1
450,573,0
451,757,1
452,268,0
453,226,0
454,255,1
455,557,0
456,328,0
457,467,0
