PassengerId,AgeBucket,Imputed_Age,Imputed_Binned_Age
1,2,22,4
2,2,38,4
3,2,26,4
4,2,35,4
5,2,35,4
6,2,40,4
7,3,54,5
8,2,2,1
9,2,27,4
10,2,14,2
11,2,4,1
12,3,58,5
13,2,20,3
14,2,39,4
15,2,14,2
16,3,55,5
17,2,2,1
18,2,40,4
19,2,31,4
20,2,40,4
21,2,35,4
22,2,34,4
23,2,15,2
24,2,28,4
25,2,8,2
26,2,38,4
27,2,40,4
28,2,19,3
29,0,10,2
30,2,40,4
31,2,40,4
32,2,40,4
33,0,10,2
34,3,66,5
35,2,28,4
36,2,42,4
37,2,40,4
38,2,21,4
39,2,18,3
40,2,14,2
41,2,40,4
42,2,27,4
43,2,40,4
44,2,3,1
45,2,19,3
46,2,40,4
47,2,40,4
48,0,10,2
49,2,40,4
50,2,18,3
51,2,7,1
52,2,21,4
53,2,49,4
54,2,29,4
55,3,65,5
56,2,40,4
57,2,21,4
58,2,28.5,4
59,2,5,1
60,2,11,2
61,2,22,4
62,2,38,4
63,2,45,4
64,2,4,1
65,2,40,4
66,0,10,2
67,2,29,4
68,2,19,3
69,2,17,2
70,2,26,4
71,2,32,4
72,2,16,2
73,2,21,4
74,2,26,4
75,2,32,4
76,2,25,4
77,2,40,4
78,2,40,4
79,2,0.83,1
80,2,30,4
81,2,22,4
82,2,29,4
83,0,10,2
84,2,28,4
85,2,17,2
86,2,33,4
87,2,16,2
88,2,40,4
89,2,23,4
90,2,24,4
91,2,29,4
92,2,20,3
93,2,46,4
94,2,26,4
95,3,59,5
96,2,40,4
97,3,71,5
98,2,23,4
99,2,34,4
100,2,34,4
101,2,28,4
102,2,40,4
103,2,21,4
104,2,33,4
105,2,37,4
106,2,28,4
107,2,21,4
108,2,40,4
109,2,38,4
110,0,10,2
111,2,47,4
112,2,14.5,2
113,2,22,4
114,2,20,3
115,2,17,2
116,2,21,4
117,3,70.5,5
118,2,29,4
119,2,24,4
120,2,2,1
121,2,21,4
122,2,40,4
123,2,32.5,4
124,2,32.5,4
125,3,54,5
126,2,12,2
127,2,40,4
128,2,24,4
129,0,10,2
130,2,45,4
131,2,33,4
132,2,20,3
133,2,47,4
134,2,29,4
135,2,25,4
136,2,23,4
137,2,19,3
138,2,37,4
139,2,16,2
140,2,24,4
141,2,40,4
142,2,22,4
143,2,24,4
144,2,19,3
145,2,18,3
146,2,19,3
147,2,27,4
148,2,9,2
149,2,36.5,4
150,2,42,4
151,3,51,5
152,2,22,4
153,3,55.5,5
154,2,40.5,4
155,2,40,4
156,3,51,5
157,2,16,2
158,2,30,4
159,2,40,4
160,0,10,2
161,2,44,4
162,2,40,4
163,2,26,4
164,2,17,2
165,2,1,1
166,2,9,2
167,2,40,4
168,2,45,4
169,2,40,4
170,2,28,4
171,3,61,5
172,2,4,1
173,2,1,1
174,2,21,4
175,3,56,5
176,2,18,3
177,0,10,2
178,3,50,4
179,2,30,4
180,2,36,4
181,0,10,2
182,2,40,4
183,2,9,2
184,2,1,1
185,2,4,1
186,2,40,4
187,2,40,4
188,2,45,4
189,2,40,4
190,2,36,4
191,2,32,4
192,2,19,3
193,2,19,3
194,2,3,1
195,2,44,4
196,3,58,5
197,2,40,4
198,2,42,4
199,0,10,2
200,2,24,4
201,2,28,4
202,2,40,4
203,2,34,4
204,2,45.5,4
205,2,18,3
206,2,2,1
207,2,32,4
208,2,26,4
209,2,16,2
210,2,40,4
211,2,24,4
212,2,35,4
213,2,22,4
214,2,30,4
215,2,40,4
216,2,31,4
217,2,27,4
218,2,42,4
219,2,32,4
220,2,30,4
221,2,16,2
222,2,27,4
223,3,51,5
224,2,40,4
225,2,38,4
226,2,22,4
227,2,19,3
228,2,20.5,3
229,2,18,3
230,0,10,2
231,2,35,4
232,2,29,4
233,3,59,5
234,2,5,1
235,2,24,4
236,0,10,2
237,2,44,4
238,2,8,2
239,2,19,3
240,2,33,4
241,0,10,2
242,0,10,2
243,2,29,4
244,2,22,4
245,2,30,4
246,2,44,4
247,2,25,4
248,2,24,4
249,2,37,4
250,3,54,5
251,2,40,4
252,2,29,4
253,3,62,5
254,2,30,4
255,2,41,4
256,2,29,4
257,2,40,4
258,2,30,4
259,2,35,4
260,3,50,4
261,2,40,4
262,2,3,1
263,3,52,5
264,2,40,4
265,0,10,2
266,2,36,4
267,2,16,2
268,2,25,4
269,3,58,5
270,2,35,4
271,2,40,4
272,2,25,4
273,2,41,4
274,2,37,4
275,0,10,2
276,3,63,5
277,2,45,4
278,2,40,4
279,2,7,1
280,2,35,4
281,3,65,5
282,2,28,4
283,2,16,2
284,2,19,3
285,2,40,4
286,2,33,4
287,2,30,4
288,2,22,4
289,2,42,4
290,2,22,4
291,2,26,4
292,2,19,3
293,2,36,4
294,2,24,4
295,2,24,4
296,2,40,4
297,2,23.5,4
298,2,2,1
299,2,40,4
300,3,50,4
301,0,10,2
302,2,40,4
303,2,19,3
304,0,10,2
305,2,40,4
306,2,0.92,1
307,0,10,2
308,2,17,2
309,2,30,4
310,2,30,4
311,2,24,4
312,2,18,3
313,2,26,4
314,2,28,4
315,2,43,4
316,2,26,4
317,2,24,4
318,3,54,5
319,2,31,4
320,2,40,4
321,2,22,4
322,2,27,4
323,2,30,4
324,2,22,4
325,2,40,4
326,2,36,4
327,3,61,5
328,2,36,4
329,2,31,4
330,2,16,2
331,0,10,2
332,2,45.5,4
333,2,38,4
334,2,16,2
335,2,40,4
336,2,40,4
337,2,29,4
338,2,41,4
339,2,45,4
340,2,45,4
341,2,2,1
342,2,24,4
343,2,28,4
344,2,25,4
345,2,36,4
346,2,24,4
347,2,40,4
348,2,40,4
349,2,3,1
350,2,42,4
351,2,23,4
352,2,40,4
353,2,15,2
354,2,25,4
355,2,40,4
356,2,28,4
357,2,22,4
358,2,38,4
359,0,10,2
360,0,10,2
361,2,40,4
362,2,29,4
363,2,45,4
364,2,35,4
365,2,40,4
366,2,30,4
367,3,60,5
368,2,40,4
369,0,10,2
370,2,24,4
371,2,25,4
372,2,18,3
373,2,19,3
374,2,22,4
375,2,3,1
376,2,40,4
377,2,22,4
378,2,27,4
379,2,20,3
380,2,19,3
381,2,42,4
382,2,1,1
383,2,32,4
384,2,35,4
385,2,40,4
386,2,18,3
387,2,1,1
388,2,36,4
389,2,40,4
390,2,17,2
391,2,36,4
392,2,21,4
393,2,28,4
394,2,23,4
395,2,24,4
396,2,22,4
397,2,31,4
398,2,46,4
399,2,23,4
400,2,28,4
401,2,39,4
402,2,26,4
403,2,21,4
404,2,28,4
405,2,20,3
406,2,34,4
407,3,51,5
408,2,3,1
409,2,21,4
410,0,10,2
411,2,40,4
412,2,40,4
413,2,33,4
